Names,Rating_(Max=5),Reviews,Cost_(Max=4),Type_cuisine,Address,Area,Phone_Number,Link
Café Louise,4.5,57,2.0,"[['Bars'], ['French']]",8 rue Croix des Petits Champs,Palais Royal/Musée du Louvre,01 42 60 22 44,https://www.yelp.com/biz/caf%C3%A9-louise-paris-3?osq=Restaurants
Eggs & Co,4.0,337,2.0,[['Breakfast & Brunch']],11 rue Bernard Palissy,Saint-Germain-Des-Prés,01 45 44 02 52,https://www.yelp.com/biz/eggs-et-co-paris?osq=Restaurants
La Jacobine,4.5,254,3.0,"[['Tea Rooms'], ['French']]",59-61 rue Saint-André des Arts,Saint-Michel/Odéon,01 46 34 15 95,https://www.yelp.com/biz/la-jacobine-paris?osq=Restaurants
Pain Vin Fromages,4.5,232,2.0,[['Fondue']],3 rue Geoffroy-l'Angevin,Beaubourg,01 42 74 07 52,https://www.yelp.com/biz/pain-vin-fromages-paris?osq=Restaurants
Bistrot Richelieu,4.0,158,2.0,"[['French'], ['Bistros']]",45 Rue Richelieu,Palais Royal/Musée du Louvre,01 42 60 19 16,https://www.yelp.com/biz/bistrot-richelieu-paris?osq=Restaurants
La Cave Gourmande,4.5,299,2.0,[['French']],96 rue des Martyrs,Montmartre,01 46 06 10 34,https://www.yelp.com/biz/la-cave-gourmande-paris-2?osq=Restaurants
Le Bistrot des Vosges,4.5,51,2.0,[['Bistros']],31 bd Beaumarchais,Bastille,01 42 72 94 85,https://www.yelp.com/biz/le-bistrot-des-vosges-paris?osq=Restaurants
Les Artizans,5.0,21,2.0,"[['Patisserie/Cake Shop'], ['Bistros']]",30 rue de Montorgueil,Châtelet/Les Halles,01 40 28 44 74,https://www.yelp.com/biz/les-artizans-paris?osq=Restaurants
Enza & Famiglia Trattoria Pasta,5.0,34,2.0,[['Italian']],89 rue Saint-Honoré,Châtelet/Les Halles,01 40 41 06 25,https://www.yelp.com/biz/enza-et-famiglia-trattoria-pasta-paris?osq=Restaurants
L’Epicure,4.5,153,4.0,"[['French'], ['Breakfast & Brunch']]",Located in Le Bristol Paris,8ème,01 53 43 43 40,https://www.yelp.com/biz/l-epicure-paris-2?osq=Restaurants
La Droguerie du Marais,4.5,188,1.0,[['Creperies']],56 rue des Rosiers,Marais,Unknown,https://www.yelp.com/biz/la-droguerie-du-marais-paris?osq=Restaurants
Le Rubis,4.0,48,1.0,"[['Brasseries'], ['French'], ['Wine Bars']]",10 rue du Marché Saint-Honoré,Place Vendôme,01 42 61 03 34,https://www.yelp.com/biz/le-rubis-paris-2?osq=Restaurants
Claus - La Table du Petit-Déjeuner,4.5,245,3.0,"[['Breakfast & Brunch'], ['Cafes']]",14 rue Jean-Jacques Rousseau,Palais Royal/Musée du Louvre,01 42 33 55 10,https://www.yelp.com/biz/claus-la-table-du-petit-d%C3%A9jeuner-paris?osq=Restaurants
Crêperie Saint Eustache,4.5,47,2.0,[['Creperies']],2 rue Sauval,Châtelet/Les Halles,01 40 28 40 39,https://www.yelp.com/biz/cr%C3%AAperie-saint-eustache-paris-2?osq=Restaurants
Café de Paris,4.0,39,2.0,[['Brasseries']],3 rue de l'Échelle,Palais Royal/Musée du Louvre,01 42 60 84 26,https://www.yelp.com/biz/caf%C3%A9-de-paris-paris-9?osq=Restaurants
Les Philosophes,3.5,310,2.0,"[['French'], ['Bars']]",28 rue Vieille du Temple,Marais,01 48 87 49 64,https://www.yelp.com/biz/les-philosophes-paris?osq=Restaurants
Maison Rouge,4.0,18,1.0,"[['French'], ['Breakfast & Brunch'], ['Brasseries']]",12-14 rue de la Ferronnerie,Châtelet/Les Halles,01 42 21 19 33,https://www.yelp.com/biz/maison-rouge-paris?osq=Restaurants
Les Papilles,4.5,238,3.0,"[['Wine Bars'], ['Bistros']]",30 rue Gay-Lussac,Sorbonne/Panthéon,01 43 25 20 79,https://www.yelp.com/biz/les-papilles-paris?osq=Restaurants
Les Fils à Maman,4.0,242,2.0,[['French']],7 bis rue Geoffroy-Marie,Strasbourg-St Denis/Bonne Nouvelle,01 48 24 59 39,https://www.yelp.com/biz/les-fils-%C3%A0-maman-paris-4?osq=Restaurants
Little Breizh,4.5,192,2.0,[['Creperies']],11 rue Grégoire de Tours,Saint-Germain-Des-Prés,01 43 54 60 74,https://www.yelp.com/biz/little-breizh-paris?osq=Restaurants
Holybelly,4.5,178,2.0,"[['Breakfast & Brunch'], ['Coffee & Tea']]",5 rue Lucien Sampaix,République,01 82 28 00 80,https://www.yelp.com/biz/holybelly-paris-2?osq=Restaurants
Chez Mademoiselle,4.5,94,3.0,[['French']],16 rue Charlemagne,4ème,01 42 72 14 16,https://www.yelp.com/biz/chez-mademoiselle-paris-3?osq=Restaurants
Ellsworth,4.5,103,3.0,"[['Wine Bars'], ['French']]",34 rue de Richelieu,Palais Royal/Musée du Louvre,01 42 60 59 66,https://www.yelp.com/biz/ellsworth-paris?osq=Restaurants
Kozy,4.0,255,1.0,"[['Coffee & Tea'], ['Breakfast & Brunch'], ['Sandwiches']]",79 avenue Bosquet,Tour Eiffel/Champ de Mars,09 83 89 12 64,https://www.yelp.com/biz/kozy-paris-6?osq=Restaurants
Le Comptoir,4.0,419,3.0,[['Brasseries']],Located in Hotel Relais Saint Germain,Saint-Michel/Odéon,01 44 27 07 50,https://www.yelp.com/biz/le-comptoir-paris-18?osq=Restaurants
Frenchie Restaurant,4.5,200,4.0,"[['French'], ['Modern European']]",5-6 rue du Nil,Grands Boulevards/Sentier,01 40 39 96 19,https://www.yelp.com/biz/frenchie-restaurant-paris?osq=Restaurants
La Crêperie,4.5,62,1.0,"[['Creperies'], ['French']]",12 rue Pasquier,Concorde/Madeleine,09 86 18 97 18,https://www.yelp.com/biz/la-cr%C3%AAperie-paris-12?osq=Restaurants
Le Boui Boui,4.5,48,2.0,[['French']],11 rue Marie Stuart,Etienne Marcel/Montorgueil,01 42 36 40 94,https://www.yelp.com/biz/le-boui-boui-paris?osq=Restaurants
Le Relais de l’Entrecôte,4.0,463,3.0,"[['Steakhouses'], ['Bistros']]",15 rue Marbeuf,Champs-Elysées,01 49 52 07 17,https://www.yelp.com/biz/le-relais-de-l-entrec%C3%B4te-paris-3?osq=Restaurants
Café Plume,4.5,11,2.0,[['Brasseries']],164 rue Saint-Honoré,Palais Royal/Musée du Louvre,01 42 60 27 66,https://www.yelp.com/biz/caf%C3%A9-plume-paris-2?osq=Restaurants
Le P’tit Bistro,5.0,9,2.0,"[['Brasseries'], ['Bars']]",8 rue Saint-Martin,Châtelet/Les Halles,01 42 78 55 80,https://www.yelp.com/biz/le-p-tit-bistro-paris-2?osq=Restaurants
Le Petit Cler,4.0,332,2.0,"[['French'], ['Cafes']]",29 rue Cler,7ème,01 45 50 17 50,https://www.yelp.com/biz/le-petit-cler-paris?osq=Restaurants
Café Saint-Régis,4.0,155,2.0,"[['French'], ['Lounges']]",6 rue Jean du Bellay,Île de la Cité/Île Saint Louis,01 43 54 59 41,https://www.yelp.com/biz/caf%C3%A9-saint-r%C3%A9gis-paris-2?osq=Restaurants
La Vie d’Ange,4.5,32,3.0,"[['French'], ['Wine Bars']]",41 bd Saint-Jacques,Port Royal/Gobelins,01 45 65 22 38,https://www.yelp.com/biz/la-vie-d-ange-paris?osq=Restaurants
The Hardware Société,4.5,147,2.0,"[['Coffee & Tea'], ['Breakfast & Brunch'], ['Australian']]",10 rue Lamarck,Montmartre,01 42 51 69 03,https://www.yelp.com/biz/the-hardware-soci%C3%A9t%C3%A9-paris-2?osq=Restaurants
Au Petit Suisse,4.0,102,2.0,"[['Brasseries'], ['French']]",16 rue de Vaugirard,Saint-Michel/Odéon,01 43 26 03 81,https://www.yelp.com/biz/au-petit-suisse-paris?osq=Restaurants
